Census Tract;Bus stops;Health center;Hospitals;Universities;Bus stations;Faculty;Supermarkets;Open Markets;% of artificial surface;Road density;Total.Area
4109601001;8;0;0;0;0;0;0;0;17,5631081;36,81130297;6490186,503
4107301002;1;1;0;0;0;0;0;0;0,303645629;131,9739803;314200475,1
401306006;0;1;0;0;0;0;0;0;99,99999958;31,09818397;267006,9465
2105202002;0;0;0;0;0;0;0;0;2,574829981;39,74178747;37136868,71
4109103072;0;0;0;0;0;0;0;0;100;35,30145359;15536,41677
2390302001;0;0;0;0;0;0;0;0;38,18673157;32,14100677;318259,4124
2901502002;0;0;0;0;0;0;0;0;99,57933773;28,5892243;146555,0719
4109105014;0;0;0;0;0;0;0;0;100;22,91719719;48493,91137
4109106030;2;1;0;0;0;3;0;0;78,36775584;27,75645366;7354199,691
2104401001;0;0;0;0;0;0;0;0;80,93586233;27,52464193;199314,2026
1808707028;1;0;0;0;0;0;0;0;99,99999807;22,26419096;36555,25719
2906707079;0;0;0;0;0;0;0;0;100;31,75798114;9507,250023
1808707003;1;1;0;0;0;0;0;0;100;51,26870467;34030,80287
2103502001;1;0;0;0;0;0;1;0;0,490120141;296,820692;74837299,49
2906709069;0;0;0;0;0;0;0;0;100;33,77496003;30535,09407
401304001;0;1;0;0;0;0;0;0;100;26,76887399;54127,8434
4109102011;0;0;0;0;0;0;0;0;100;28,00735513;20608,63444
4108102012;36;1;0;0;0;0;1;0;6,930128223;30,3331786;136461411,6
4105901018;5;0;0;0;0;0;0;0;34,20332204;36,82365412;943581,3856
2106501001;1;1;0;0;0;0;0;0;0;0;96842796,05
1406002002;2;1;0;0;0;0;0;0;9,448555414;41,1056729;3305692,481
4101601002;8;1;0;0;0;0;0;0;25,6503282;31,52598272;3368060,284
401307003;3;0;0;0;0;1;0;0;100;39,85731355;27357,52786
1100602004;0;0;0;0;0;0;0;0;100;39,92778876;69692,46492
1402106016;0;0;0;0;0;0;0;0;100;19,9692414;28662,72724
2906702007;0;0;1;0;0;0;0;0;95,03045315;23,93191446;173969,7716
2104105006;0;0;0;0;0;0;0;0;100;31,8190676;28506,81556
4109106041;0;0;0;0;0;0;0;0;100;33,89585011;30366,39752
1100402012;0;0;2;0;0;1;0;0;100,0000009;18,25514208;457442,5315
2306003002;0;0;0;0;0;0;1;0;100;26,30542752;115577,7692
2906702011;0;0;0;0;0;0;0;0;94,06661409;25,0111034;132367,3524
1100403008;0;0;0;0;0;0;0;0;100;24,89226673;26385,57507
2908403005;0;0;0;0;0;0;0;0;95,0557557;14,3049441;84780,97503
1402104004;0;0;0;0;0;0;0;0;100;17,36867018;58899,15962
4102403001;0;0;0;0;0;0;0;0;53,96159727;59,9831792;65584,90111
2906709083;0;0;0;0;0;0;0;0;95,97808299;27,00846586;65747,59083
4109104091;0;0;0;0;0;0;0;0;100,0000015;34,39112136;538125,1259
1102004007;0;0;0;0;0;0;0;0;99,99999434;31,63925488;72280,9924
1402102033;0;0;0;0;0;0;0;0;100;23,65958908;147899,4272
4109102021;0;0;0;0;0;0;0;0;100;23,8416435;40158,79105
1808701008;0;0;0;0;0;0;0;0;100;27,6626918;26260,57071
1817501005;0;1;0;0;0;0;0;0;8,174821851;63,70757563;2861575,422
1801201001;1;1;0;0;0;0;0;0;0;0;298757,6051
1805301002;8;3;0;0;0;0;0;0;0;0;59981102,05
1815001002;0;0;0;0;0;0;1;0;15,49287521;48,77289891;3602021,229
405801001;1;1;0;0;0;0;0;0;1,106847707;102,9584861;28111935,08
2904202003;0;0;0;0;0;0;0;0;100;43,75072068;28466,33933
4109104089;0;0;0;0;0;0;0;0;100;31,29425451;172963,0551
2301002001;0;0;0;0;0;0;0;0;74,71226636;42,4174278;105623,3622
4109102094;0;0;0;0;0;0;0;0;43,39639301;53,42265129;129307,1459
4108701003;4;0;0;0;0;0;0;0;86,66917622;27,67701557;668110,323
1100201004;0;0;0;0;0;0;0;0;81,34586164;13,3102821;68762,1364
1402109035;0;1;0;0;0;0;0;0;0;0;2126031,093
1101501002;0;0;0;0;0;0;0;0;97,52562942;27,49383493;301116,898
2906708014;0;0;0;0;0;0;3;0;79,47638592;16,98735846;1651626,639
2906706015;0;1;1;0;0;0;0;0;100;17,754592;85269,49501
4109104100;0;0;0;0;0;0;0;0;100,0000007;30,55403215;169080,5496
4109105001;0;0;0;0;0;0;0;0;100;22,70935062;21686,63517
401306031;0;0;0;0;0;0;0;0;80,59401351;28,99920175;66155,50945
1404204003;0;0;0;0;0;0;0;0;68,21510672;33,03417286;160918,3201
4109102014;3;0;0;0;0;0;0;0;100;35,13555082;30079,63721
1812702004;4;0;0;0;0;0;0;0;17,60110119;92,67042813;684755,7646
4103501001;1;1;0;0;0;0;0;0;0;0;51472053,82
1809801002;1;1;0;0;0;0;0;0;3,934639719;40,30260549;9431479,333
401304002;0;0;0;0;0;0;0;0;100;30,68037021;53711,30493
4109505004;1;2;0;0;0;0;0;0;0,772511218;97,08384841;97801355,98
2105401001;0;1;0;0;0;0;1;0;0,935092006;168,6349647;38473486,94
4101801006;0;0;0;0;0;0;0;0;96,27579664;30,00439079;150316,7481
1102204002;0;0;0;0;0;0;0;0;55,78474734;35,32385849;210106,9465
2909102001;1;0;0;0;0;0;0;0;32,96297382;42,00833665;640830,624
1100403004;0;0;0;0;1;0;0;0;100;13,18664398;291506,3153
4109104009;0;1;0;0;0;0;0;0;100;30,52725272;63777,00318
2302602001;1;1;0;0;0;0;0;0;0;0;136692,0543
4106904002;0;0;0;0;0;0;0;0;100;32,17215603;79262,2005
2906706010;0;0;0;0;0;0;0;0;100;81,73532625;20649,44785
2905401008;0;0;0;0;0;0;1;0;100;25,22502052;102491,575
2906702024;0;0;0;0;0;0;0;0;100,0000026;42,00594439;43059,84603
1805601001;5;2;0;0;0;0;0;0;0,173819097;303,7949365;221344907
401306002;0;0;0;0;0;0;0;0;100;48,74652447;45621,56212
4109103071;2;0;0;0;0;0;0;0;99,99999683;21,29912656;257367,4583
1400701003;0;0;0;0;0;0;0;0;100;27,62686526;52194,15808
2104401007;0;0;0;0;0;0;0;0;0,357887187;463,1614329;60062444,88
401306021;1;0;0;0;0;0;0;0;23,14831408;62,19445286;1347637,703
1101208015;0;0;0;0;0;0;0;0;100;12,54886957;15405,25014
2300601003;0;1;0;0;0;0;0;0;98,74358367;22,48304814;172509,3602
1101209009;0;0;1;0;0;0;0;0;100;19,74269719;33087,58783
2903201002;0;0;0;0;0;0;0;0;0,748549689;165,4217403;27361922,54
400201001;4;1;0;0;0;0;0;0;0;0;83610687,1
1402102025;0;0;0;0;0;0;0;0;100;39,23062153;32233,12444
400602001;1;1;0;0;0;0;0;0;80,55468647;20,64837971;687455,2159
4110101003;2;1;0;0;0;0;0;0;3,340484751;36,10302299;40564694,04
4100404010;1;0;0;0;0;0;2;0;100;23,47844655;177358,6649
1101203001;0;0;0;0;0;0;0;0;100;33,85258395;29976,52814
1100602008;0;0;0;0;0;0;0;0;43,62078558;32,99836065;1419314,039
2906707069;0;0;0;0;0;0;0;0;100;47,25186109;17528,99978
1102203006;0;0;0;0;0;0;0;0;100;27,74922403;71094,38847
4102102002;3;0;0;0;0;0;0;0;21,85379729;27,94453032;2366975,753
1402109005;0;0;0;0;0;0;0;0;100;37,70300493;46057,66156
1808709007;0;1;0;0;0;0;0;0;86,0392094;47,38526629;73495,5061
4109104043;0;0;0;0;0;0;0;0;100,0000015;17,45778245;99225,84657
1808708003;0;0;0;0;0;0;0;0;69,42671537;62,09405615;146388,1419
1102704003;0;1;0;0;0;0;0;0;99,64884174;22,01722341;751007,4796
2906710030;0;0;0;0;0;0;0;0;100;44,45336693;22416,54157
1401501002;2;1;0;0;0;0;0;0;0,323192409;400,7507345;39475572,87
4108201001;2;1;0;0;0;0;0;0;1,98047054;90,03086608;76159824,63
2906709038;0;0;0;0;0;0;0;0;100;32,66075229;59404,73434
409601001;0;1;0;0;0;0;0;0;0,042083282;2596,936977;25448873,61
2104106008;2;1;0;0;0;0;1;0;29,41545763;4,60721739;24442955,81
1102009005;1;0;0;0;0;0;1;0;21,43316314;29,86292526;14367963,12
1801703001;0;1;0;0;0;0;0;0;1,584205474;222,6634363;63852572,88
4109402002;3;1;0;0;0;0;0;0;5,802811437;83,55379086;6117112,011
2301802001;1;0;0;0;0;0;0;0;0;0;155019,1737
4102901009;5;0;0;0;0;0;3;0;99,99999867;31,81412941;347698,3171
2306201002;1;1;0;0;0;0;0;0;67,86911814;33,94841629;276250,3601
1809801001;2;0;0;0;0;0;0;0;0,208288479;402,8018071;44058596,61
2906901036;0;0;0;0;0;0;0;0;36,23019655;42,60519683;56842,35851
2905401001;1;0;0;0;0;0;0;0;100;38,52101901;47201,8531
2906708039;0;0;0;0;0;0;0;0;99,99999778;31,03961543;151119,1885
4103403001;0;0;0;0;0;0;0;0;100;26,5025597;72577,31113
4109105062;0;0;0;0;0;0;0;0;100;22,58996337;46843,33115
