Census Tract;Service area overall;Service area (pop-accounted);Total area;Portion overall;Portion pop-accounted
0401307005;0,038769267;0,038769267;0,038769267;100;100
0401307006;0,031882709;0,031882709;0,031882709;100;100
0401307007;0,061862234;0,061862234;0,061862234;100;100
0401307008;0,178336491;0,178336491;0,178336491;100;100
0401307010;0,088733181;0,088733181;0,088733181;100;100
0401307011;0,060740241;0,060740241;0,060740241;100;100
0401307012;0,158509346;0,158509346;0,158509346;100;100
0401307013;0,12879881;0,12879881;0,12879881;100;100
0401307014;0,160561573;0,160561573;0,160561573;100;100
0401307015;0,064138296;0,064138296;0,064138296;100;100
0401307016;0,124966387;0,124966387;0,124966387;100;100
0401307017;0,080227136;0,080227136;0,080227136;100;100
0401307018;0,668906839;0,643601363;0,668906839;100;96,21689084
0401307019;0,026104146;0,026104146;0,026104146;100;100
0401307020;1,76566039;0,94650746;1,850979829;95,3905798;51,13548216
0401307021;4,08472615;2,152639695;5,15953108;79,16855401;41,72161504
0401307022;4,470754457;1,907407994;6,658453181;67,14403985;28,64641294
0401307023;0,028868544;0,000992332;2,985554622;0,96694075;0,033237768
0401307024;4,724730421;2,297128274;6,407723131;73,73493399;35,84936843
0401307025;0,059043618;0,059043618;0,059043618;100;100
0401307026;0,024936966;0,024936966;0,024936966;100;100
0401307027;0,031191103;0,031191103;0,031191103;100;100
0401307028;0,035586523;0,035586523;0,035586523;100;100
0401307029;0,015774883;0,015774883;0,015774883;100;100
0401307030;0,143855497;0,143855497;0,143855497;100;100
0401307031;0,072650515;0,072650515;0,072650515;100;100
0401307032;0,112096455;0,112096455;0,112096455;100;100
0401307033;0,047001506;0,047001506;0,047001506;100;100
0401307034;0,050222995;0,050222995;0,050222995;100;100
0401307035;0,070578463;0,070578463;0,070578463;100;100
0401307036;1,046756;0,643814065;1,046756;100;61,5056484
0401307037;1,095313246;0,845665005;1,095313246;100;77,20759407
0401307039;0,097720185;0,097720185;0,097720185;100;100
0401307040;0,75862286;0,137921331;1,090317744;69,57814492;12,64964568
0401307041;3,49591834;1,859178243;3,559544565;98,21251782;52,23078989
0401307042;0,021560431;0,021560431;0,021560431;100;100
0401308001;0,929704552;0,031817006;72,62116488;1,280211566;0,043812304
0401308002;0,747393967;0,212825569;4,21006867;17,75253625;5,055156718
0401308003;3,193378654;0,418041191;46,61384609;6,850708366;0,896817632
0401308004;10,16690618;1,305684163;68,37862642;14,86854404;1,909491652
0401308005;1,690918209;0,760515636;21,64166726;7,813252964;3,514126829
0401601001;4,218498871;0,202222807;33,06314691;12,75891518;0,611626012
0401602001;2,909321598;0,241858965;66,01899765;4,406794562;0,366347527
0402201001;1,29875324;0,421132681;46,69321051;2,781460573;0,901914168
0402401001;3,505578585;1,588696899;14,59697885;24,01578176;10,88373776
0402401002;1,395374965;0,553057654;2,006300442;69,54965148;27,56604355
0402901001;0,324660603;0,187517018;0,324660603;100;57,75786057
0402901002;0,148086555;0,148086555;0,148086555;100;100
0402901003;0,198280272;0,198280272;0,364139787;54,45169113;54,45169108
0402901004;1,011966249;0,530966797;10,83710182;9,337978606;4,899527625
0402901005;0,15450677;0,15450677;0,15450677;100;100
0402901006;0,756730056;0,555904772;0,767547749;98,59061624;72,42608329
0402901007;0,244735119;0,235027638;0,420784833;58,16158266;55,8545886
0402902001;13,43341253;1,073587193;16,39891205;81,91648621;6,546697669
0402902002;19,37452676;1,708906487;19,37452676;100;8,820377952
